DELIVERY_PERSON_NAME,EMPLOYMENT_TYPE,VEHICLE_TYPE,TOTAL_DELIVERIES,AVG_DELAY,AVG_RATING,ON_TIME_RATE
Sahil Mani,CONTRACT,SCOOTER,96,0.50,3.93,62.50
Rania Das,CONTRACT,EV BIKE,97,0.38,4.08,69.07
Myra Chakrabarti,CONTRACT,EV BIKE,82,0.41,4.01,64.63
Kanav Sampath,CONTRACT,SCOOTER,124,0.44,4.02,64.52
Mahika Buch,CONTRACT,EV BIKE,106,0.41,4.08,70.75
Anvi Tripathi,FULL-TIME,EV BIKE,97,0.34,4.14,73.20
Pihu Bhandari,FULL-TIME,SCOOTER,89,0.52,3.89,58.43
Sana Kanda,FULL-TIME,SCOOTER,131,0.47,3.99,62.60
Darshit Handa,CONTRACT,EV BIKE,118,0.43,3.94,66.95
Amira Sampath,FULL-TIME,EV BIKE,115,0.36,4.06,72.17
Prerak Mahajan,FULL-TIME,SCOOTER,139,0.47,3.96,64.03
Seher Korpal,FULL-TIME,SCOOTER,91,0.57,3.83,54.95
Dhanush Khurana,CONTRACT,BIKE,126,0.53,3.86,61.90
Vritika Tiwari,CONTRACT,BIKE,118,0.50,3.91,65.25
Reyansh Toor,CONTRACT,VAN,130,0.55,3.89,56.92
Ranbir Sandhu,FULL-TIME,SCOOTER,111,0.50,3.97,60.36
Shamik Kuruvilla,FULL-TIME,EV BIKE,108,0.42,4.06,65.74
Arnav Viswanathan,CONTRACT,VAN,105,0.47,4.01,61.90
Abram Sarkar,FULL-TIME,EV BIKE,99,0.48,3.92,62.63
Tarini Acharya,FULL-TIME,EV BIKE,88,0.31,4.16,72.73
Jiya Mani,FULL-TIME,EV BIKE,104,0.38,4.06,70.19
Lavanya Roy,FULL-TIME,VAN,119,0.39,4.07,67.23
Pari Yadav,FULL-TIME,BIKE,115,0.47,4.04,64.35
Myra Tandon,FULL-TIME,BIKE,115,0.44,4.00,66.96
Divit Salvi,FULL-TIME,EV BIKE,105,0.54,3.82,58.10
Urvi Atwal,CONTRACT,VAN,132,0.45,3.98,63.64
Zain Lalla,CONTRACT,VAN,129,0.39,4.05,70.54
Shaan Sandal,CONTRACT,BIKE,142,0.53,3.96,59.15
Nirvi Badal,CONTRACT,VAN,86,0.38,4.08,69.77
Krish Ratti,FULL-TIME,VAN,116,0.42,3.96,68.10
Oorja Lall,FULL-TIME,BIKE,118,0.45,4.03,67.80
Advika Upadhyay,FULL-TIME,SCOOTER,118,0.50,3.92,62.71
Ela Sabharwal,FULL-TIME,BIKE,102,0.41,4.02,66.67
Nirvaan Garg,CONTRACT,SCOOTER,96,0.38,4.11,68.75
Ishaan Boase,FULL-TIME,EV BIKE,105,0.51,3.93,60.00
Shalv Raju,CONTRACT,VAN,93,0.41,4.03,69.89
Mannat Dar,FULL-TIME,EV BIKE,102,0.47,4.00,61.76
Biju Roy,CONTRACT,BIKE,100,0.42,4.04,68.00
Umang Chokshi,FULL-TIME,BIKE,109,0.41,4.04,67.89
Raunak Khosla,FULL-TIME,VAN,124,0.45,4.01,63.71
Taran Dhillon,CONTRACT,BIKE,86,0.47,3.97,62.79
Zaina Kapoor,CONTRACT,SCOOTER,78,0.36,4.09,71.79
Oorja Mane,CONTRACT,VAN,87,0.48,3.92,66.67
Alisha Jha,FULL-TIME,EV BIKE,124,0.51,3.97,62.10
Dishani Dewan,CONTRACT,VAN,122,0.43,4.03,64.75
Nitya Kurian,CONTRACT,VAN,90,0.42,4.06,63.33
Yasmin Khurana,FULL-TIME,SCOOTER,119,0.39,4.09,68.91
Yuvaan Lad,CONTRACT,VAN,92,0.42,4.01,65.22
Anahita Handa,CONTRACT,EV BIKE,132,0.45,4.02,64.39
Dhanuk Chada,FULL-TIME,SCOOTER,100,0.49,3.96,62.00
Ryan Rajagopal,CONTRACT,EV BIKE,123,0.43,4.01,69.11
Jivin Thaman,FULL-TIME,VAN,142,0.48,4.00,64.79
Charvi Sha,FULL-TIME,VAN,113,0.48,4.01,61.95
Mahika Chana,CONTRACT,EV BIKE,128,0.48,3.82,67.97
Rania Thakur,FULL-TIME,EV BIKE,82,0.50,4.03,64.63
Vihaan Lad,CONTRACT,EV BIKE,97,0.46,3.99,58.76
Nitara Batta,FULL-TIME,SCOOTER,106,0.42,4.03,68.87
Nayantara Goyal,CONTRACT,SCOOTER,109,0.54,3.89,58.72
Kashvi Dugar,CONTRACT,EV BIKE,119,0.54,3.88,53.78
Aaina Dugal,FULL-TIME,SCOOTER,103,0.55,3.82,59.22
Divyansh Balan,CONTRACT,SCOOTER,117,0.51,3.94,55.56
Anvi Balay,FULL-TIME,VAN,93,0.49,3.96,61.29
Dhruv Kumar,FULL-TIME,EV BIKE,94,0.35,4.11,74.47
Kismat Dara,CONTRACT,BIKE,139,0.46,4.00,64.03
Ivan Bose,CONTRACT,SCOOTER,148,0.51,3.97,59.46
Anya Subramanian,FULL-TIME,BIKE,73,0.34,4.19,71.23
Romil Desai,FULL-TIME,VAN,99,0.36,4.07,71.72
Hrishita Wable,CONTRACT,BIKE,124,0.40,4.05,70.97
Diya Sarna,FULL-TIME,BIKE,123,0.51,3.86,59.35
Raunak Badal,CONTRACT,EV BIKE,132,0.48,3.95,63.64
Drishya Tank,FULL-TIME,BIKE,89,0.40,4.03,67.42
Mishti Kunda,FULL-TIME,EV BIKE,121,0.47,3.99,63.64
Nirvi Jain,FULL-TIME,SCOOTER,101,0.46,3.97,64.36
Divit Tella,CONTRACT,SCOOTER,202,0.40,4.09,67.82
Dharmajan Kala,CONTRACT,EV BIKE,108,0.53,3.87,60.19
Saira Subramanian,CONTRACT,SCOOTER,102,0.50,3.98,57.84
Myra Bahri,FULL-TIME,SCOOTER,118,0.51,3.99,61.02
Ela Kara,CONTRACT,VAN,99,0.56,3.87,55.56
Ojas Choudhury,FULL-TIME,VAN,122,0.48,3.96,62.30
Alia Dyal,CONTRACT,VAN,121,0.36,4.08,71.07
Anahita Varma,FULL-TIME,SCOOTER,126,0.42,4.06,66.67
Sana Contractor,CONTRACT,VAN,100,0.51,3.91,62.00
Arnav Bali,FULL-TIME,BIKE,91,0.56,3.83,59.34
Arnav Toor,CONTRACT,BIKE,101,0.59,3.77,62.38
Hansh Hari,CONTRACT,VAN,104,0.40,4.01,64.42
Amani Sankar,CONTRACT,EV BIKE,148,0.39,4.06,71.62
Alisha Bhalla,CONTRACT,SCOOTER,141,0.40,4.06,68.79
Vanya Gulati,CONTRACT,SCOOTER,128,0.46,4.03,62.50
Nitara Trivedi,FULL-TIME,SCOOTER,113,0.51,3.86,61.06
Devansh Tara,FULL-TIME,SCOOTER,123,0.46,4.00,63.41
Faiyaz Apte,FULL-TIME,EV BIKE,119,0.45,4.00,64.71
Alisha Basu,FULL-TIME,EV BIKE,114,0.47,3.93,64.04
Hridaan Srivastava,FULL-TIME,BIKE,102,0.53,3.92,60.78
Hrishita Dada,FULL-TIME,EV BIKE,81,0.56,3.87,58.02
Eva Solanki,FULL-TIME,BIKE,100,0.51,3.97,56.00
Priyansh Kalla,CONTRACT,SCOOTER,134,0.40,3.98,67.16
Miraya Konda,FULL-TIME,BIKE,88,0.42,4.10,67.05
Ritvik Maharaj,CONTRACT,VAN,133,0.48,3.95,63.16
Neysa Chandra,FULL-TIME,SCOOTER,91,0.48,3.99,62.64
Mohanlal Bhakta,CONTRACT,SCOOTER,109,0.39,4.09,67.89
Alia Kashyap,CONTRACT,SCOOTER,102,0.51,3.89,67.65
Pihu Jhaveri,FULL-TIME,BIKE,131,0.52,3.93,61.07
Ritvik Bawa,FULL-TIME,EV BIKE,98,0.52,3.94,61.22
Charvi Kara,FULL-TIME,EV BIKE,99,0.44,4.05,63.64
Kashvi Sarkar,FULL-TIME,EV BIKE,135,0.42,4.05,64.44
Advik Bail,FULL-TIME,EV BIKE,103,0.47,3.96,63.11
Kismat Lal,CONTRACT,EV BIKE,101,0.40,4.03,68.32
Saksham Rama,FULL-TIME,BIKE,135,0.44,4.06,62.96
Shanaya Ganesan,CONTRACT,VAN,86,0.33,4.10,74.42
Sana Varma,FULL-TIME,SCOOTER,97,0.44,4.03,64.95
Eva Kuruvilla,FULL-TIME,SCOOTER,90,0.36,4.08,74.44
Anahita Mand,CONTRACT,BIKE,121,0.40,4.07,68.60
Keya Bhatia,CONTRACT,EV BIKE,97,0.46,4.01,65.98
Aarush Bahri,CONTRACT,VAN,113,0.44,4.07,63.72
Parinaaz Mahal,CONTRACT,BIKE,103,0.54,3.89,59.22
Yuvraj  Arya,FULL-TIME,EV BIKE,105,0.41,4.14,63.81
Ryan Sami,FULL-TIME,SCOOTER,87,0.39,4.06,70.11
Aayush Zacharia,FULL-TIME,VAN,101,0.43,4.11,66.34
Mannat Contractor,FULL-TIME,BIKE,115,0.49,3.91,63.48
Kaira Sehgal,FULL-TIME,SCOOTER,113,0.43,4.02,64.60
Samiha Shetty,FULL-TIME,EV BIKE,99,0.43,3.96,64.65
Devansh Sama,CONTRACT,BIKE,93,0.59,3.80,55.91
Neelofar Saini,FULL-TIME,SCOOTER,95,0.35,4.17,71.58
Amani Kakar,CONTRACT,BIKE,112,0.42,4.11,67.86
Nirvaan Biswas,FULL-TIME,VAN,115,0.44,4.05,64.35
Akarsh Swamy,FULL-TIME,EV BIKE,91,0.44,4.00,67.03
Zoya Hora,FULL-TIME,VAN,108,0.48,3.97,62.04
Ryan Jain,CONTRACT,VAN,218,0.40,4.07,67.89
Ayesha Vohra,FULL-TIME,EV BIKE,110,0.42,4.06,67.27
Jiya Batra,FULL-TIME,BIKE,116,0.37,4.07,70.69
Arhaan Gala,FULL-TIME,BIKE,95,0.54,3.93,61.05
Myra Biswas,CONTRACT,BIKE,155,0.37,4.07,69.03
Jayesh Chaudhuri,CONTRACT,VAN,105,0.46,4.06,64.76
Gokul Vohra,FULL-TIME,BIKE,111,0.44,4.05,63.96
Miraan Raj,CONTRACT,EV BIKE,106,0.50,3.88,64.15
Kiaan Balakrishnan,FULL-TIME,EV BIKE,98,0.44,4.04,69.39
Vritika Bumb,FULL-TIME,EV BIKE,98,0.54,3.84,56.12
Vidur Ben,FULL-TIME,EV BIKE,108,0.39,4.01,71.30
Amani Dyal,CONTRACT,BIKE,80,0.50,4.05,62.50
Shalv Tak,CONTRACT,SCOOTER,152,0.50,3.93,62.50
Vritika Golla,FULL-TIME,VAN,76,0.50,4.01,61.84
Kartik Johal,FULL-TIME,BIKE,74,0.34,4.19,71.62
Neelofar Bajwa,FULL-TIME,SCOOTER,105,0.42,4.08,66.67
Ryan Kale,CONTRACT,SCOOTER,117,0.47,4.01,64.96
Sana Varty,FULL-TIME,VAN,97,0.44,3.98,61.86
Gatik Swaminathan,CONTRACT,BIKE,87,0.46,3.92,66.67
Neysa Rajagopal,CONTRACT,VAN,93,0.39,4.05,66.67
Oorja Saxena,FULL-TIME,VAN,114,0.58,3.80,56.14
Emir Sundaram,FULL-TIME,BIKE,80,0.46,3.99,63.75
Kiaan Chhabra,CONTRACT,VAN,110,0.39,4.08,70.91
Ishaan Biswas,FULL-TIME,VAN,89,0.46,4.04,64.04
Hazel Borra,FULL-TIME,EV BIKE,96,0.48,3.97,63.54
Vaibhav Subramanian,FULL-TIME,BIKE,95,0.42,4.01,66.32
Ivana Kala,FULL-TIME,SCOOTER,137,0.46,4.00,62.04
Dhanuk Ahuja,FULL-TIME,EV BIKE,105,0.53,3.95,58.10
Shamik Sibal,FULL-TIME,SCOOTER,103,0.41,4.02,68.93
Onkar Walia,CONTRACT,VAN,107,0.37,4.10,69.16
Heer Brar,CONTRACT,SCOOTER,96,0.34,4.14,72.92
Romil Tata,FULL-TIME,SCOOTER,96,0.58,3.76,60.42
Nirvaan Iyengar,FULL-TIME,EV BIKE,69,0.52,3.98,59.42
Kabir Shah,FULL-TIME,SCOOTER,91,0.36,4.13,72.53
Nehmat Balay,CONTRACT,VAN,99,0.48,3.95,62.63
Shalv Aurora,FULL-TIME,EV BIKE,119,0.51,3.94,58.82
Gokul Bassi,CONTRACT,EV BIKE,83,0.35,4.09,72.29
Hridaan Barad,CONTRACT,BIKE,128,0.34,4.15,71.88
Ishita Balasubramanian,CONTRACT,VAN,109,0.52,3.91,61.47
Kimaya Saha,CONTRACT,BIKE,108,0.53,3.91,62.96
Lakshit Kari,FULL-TIME,SCOOTER,98,0.47,3.99,63.27
Shalv Shenoy,FULL-TIME,VAN,102,0.56,3.89,56.86
Pari Sarkar,FULL-TIME,EV BIKE,129,0.44,4.09,63.57
Drishya Kant,CONTRACT,EV BIKE,88,0.44,4.00,64.77
Shayak Hayer,CONTRACT,EV BIKE,134,0.41,4.06,65.67
Eshani Subramanian,CONTRACT,VAN,107,0.38,4.11,68.22
Samar Jaggi,FULL-TIME,VAN,136,0.39,4.09,69.12
Shayak Bath,CONTRACT,VAN,101,0.58,3.89,56.44
Inaaya  Devi,FULL-TIME,EV BIKE,110,0.45,3.98,63.64
Baiju Soni,FULL-TIME,BIKE,94,0.46,3.93,63.83
Jiya Varughese,FULL-TIME,VAN,74,0.53,3.89,60.81
Riya Jhaveri,FULL-TIME,EV BIKE,139,0.50,3.87,59.71
Hazel Kamdar,FULL-TIME,VAN,109,0.41,4.08,66.97
Sahil Loke,CONTRACT,EV BIKE,89,0.36,4.09,70.79
Shray Jha,FULL-TIME,VAN,88,0.43,4.07,67.05
Sumer Sangha,FULL-TIME,EV BIKE,94,0.38,4.10,65.96
Nakul Thaman,CONTRACT,BIKE,100,0.41,4.13,67.00
Sana Warrior,CONTRACT,BIKE,95,0.45,3.96,62.11
Lagan Dube,CONTRACT,SCOOTER,96,0.48,3.97,61.46
Jivin Mander,CONTRACT,VAN,95,0.54,3.92,61.05
Romil Ramachandran,FULL-TIME,EV BIKE,94,0.50,3.86,62.77
Farhan Dara,CONTRACT,SCOOTER,95,0.55,3.96,58.95
Zeeshan Das,CONTRACT,BIKE,84,0.51,3.93,63.10
Anahita Sampath,FULL-TIME,BIKE,83,0.40,4.09,66.27
Ishaan Tank,FULL-TIME,BIKE,135,0.42,3.95,68.89
Aradhya Suresh,CONTRACT,SCOOTER,85,0.41,4.07,67.06
Lakshit Bains,CONTRACT,SCOOTER,127,0.39,4.01,68.50
Raunak Yohannan,CONTRACT,SCOOTER,104,0.43,4.01,65.38
Lavanya Sani,FULL-TIME,BIKE,93,0.39,4.03,67.74
Parinaaz Balan,FULL-TIME,SCOOTER,153,0.50,3.98,61.44
Vritika Chaudhari,CONTRACT,SCOOTER,108,0.44,3.99,64.81
Nitya Vaidya,FULL-TIME,VAN,108,0.50,3.97,62.96
Indrans Wali,FULL-TIME,EV BIKE,86,0.34,4.21,70.93
Ivan Krish,CONTRACT,VAN,84,0.35,4.06,75.00
Farhan Sachar,CONTRACT,SCOOTER,141,0.44,4.02,64.54
Raghav Cherian,FULL-TIME,VAN,97,0.45,4.02,64.95
Ishaan Sandhu,CONTRACT,EV BIKE,68,0.56,3.91,57.35
Advik Ratta,CONTRACT,BIKE,108,0.46,4.02,62.04
Kiaan Shanker,CONTRACT,BIKE,132,0.45,3.97,64.39
Adah Manda,FULL-TIME,SCOOTER,87,0.57,3.88,54.02
Rania Yohannan,FULL-TIME,BIKE,96,0.47,4.03,64.58
Nirvaan Bora,FULL-TIME,EV BIKE,113,0.43,3.92,64.60
Neysa Tata,CONTRACT,EV BIKE,75,0.39,4.11,70.67
Prisha Goel,CONTRACT,EV BIKE,104,0.42,4.14,64.42
Mahika Suri,CONTRACT,VAN,94,0.49,3.96,61.70
Yuvraj  Verma,CONTRACT,BIKE,114,0.54,3.84,59.65
Hansh Jha,FULL-TIME,EV BIKE,96,0.55,3.92,57.29
Badal Dubey,FULL-TIME,VAN,86,0.43,3.98,67.44
Hridaan Sodhi,FULL-TIME,VAN,92,0.35,4.14,70.65
Gatik Grover,CONTRACT,BIKE,84,0.48,3.96,60.71
Aarush Balan,CONTRACT,VAN,111,0.40,4.07,68.47
Kavya Wadhwa,FULL-TIME,EV BIKE,113,0.40,4.03,66.37
Arhaan Jayaraman,FULL-TIME,EV BIKE,105,0.43,4.07,65.71
Shanaya Comar,FULL-TIME,BIKE,114,0.39,4.13,64.04
Emir Seth,FULL-TIME,EV BIKE,97,0.34,4.16,68.04
Mohanlal Suresh,CONTRACT,VAN,100,0.50,3.96,65.00
Saksham Mann,CONTRACT,EV BIKE,107,0.56,3.95,56.07
Ranbir Loyal,FULL-TIME,EV BIKE,93,0.42,4.09,67.74
Purab Majumdar,FULL-TIME,EV BIKE,87,0.34,4.13,71.26
Lagan Ben,FULL-TIME,EV BIKE,95,0.41,4.06,67.37
Siya Wagle,CONTRACT,SCOOTER,97,0.49,4.01,62.89
Divyansh Venkatesh,FULL-TIME,BIKE,132,0.39,4.09,68.94
Kartik Dugal,FULL-TIME,VAN,105,0.52,3.90,60.00
Zeeshan Vig,FULL-TIME,VAN,100,0.46,3.92,65.00
Rhea Mani,FULL-TIME,EV BIKE,147,0.48,4.02,60.54
Tiya Badal,FULL-TIME,VAN,108,0.47,3.99,62.96
Mehul Desai,FULL-TIME,EV BIKE,90,0.57,3.90,57.78
Amani Chadha,FULL-TIME,EV BIKE,89,0.44,4.09,65.17
Misha Sura,CONTRACT,EV BIKE,136,0.38,4.13,70.59
Dhanuk Mall,CONTRACT,BIKE,88,0.49,4.02,55.68
Indrans Luthra,CONTRACT,EV BIKE,121,0.44,4.06,65.29
Emir Suri,CONTRACT,SCOOTER,100,0.41,4.12,67.00
Vihaan Dewan,CONTRACT,SCOOTER,84,0.39,4.08,71.43
Indranil Vyas,FULL-TIME,BIKE,97,0.45,3.95,62.89
Reyansh Sekhon,FULL-TIME,BIKE,129,0.56,3.85,55.04
Zara Chanda,FULL-TIME,SCOOTER,91,0.63,3.73,58.24
Pari Vaidya,CONTRACT,BIKE,138,0.37,4.10,71.01
Manjari Varghese,CONTRACT,VAN,111,0.53,3.93,59.46
Jivika Kaur,FULL-TIME,VAN,115,0.43,3.96,65.22
Adira Arya,FULL-TIME,VAN,92,0.62,3.80,53.26
Nitya Contractor,CONTRACT,VAN,96,0.39,4.04,65.63
Heer Batta,FULL-TIME,EV BIKE,95,0.37,4.08,66.32
Ishaan Uppal,FULL-TIME,EV BIKE,127,0.51,3.97,62.20
Vardaniya Kapur,FULL-TIME,VAN,125,0.52,3.93,60.00
Nishith Ganguly,FULL-TIME,VAN,90,0.54,3.90,56.67
Rati Kapoor,CONTRACT,SCOOTER,104,0.40,4.02,67.31
Anahita Atwal,FULL-TIME,SCOOTER,91,0.55,3.89,56.04
Ivan Acharya,CONTRACT,BIKE,116,0.53,3.89,56.90
Dishani Batta,FULL-TIME,SCOOTER,91,0.54,3.99,58.24
Anaya Lanka,FULL-TIME,BIKE,83,0.53,3.95,59.04
Biju Virk,FULL-TIME,SCOOTER,116,0.47,4.03,65.52
Dharmajan Gupta,CONTRACT,BIKE,101,0.50,3.92,61.39
Charvi Sahni,FULL-TIME,BIKE,72,0.47,3.97,63.89
Hrishita Gandhi,CONTRACT,SCOOTER,116,0.41,3.99,68.97
Raunak Seshadri,CONTRACT,EV BIKE,87,0.43,4.00,68.97
Kaira Bansal,FULL-TIME,SCOOTER,122,0.45,3.96,63.93
Rania Chand,CONTRACT,EV BIKE,92,0.43,4.10,65.22
Shalv Handa,CONTRACT,SCOOTER,88,0.51,3.91,62.50
Trisha Ben,CONTRACT,VAN,108,0.41,4.02,67.59
Samaira Subramaniam,CONTRACT,SCOOTER,127,0.48,3.92,65.35
Jivin Shan,FULL-TIME,BIKE,85,0.54,3.91,61.18
Zara Mane,CONTRACT,VAN,110,0.56,3.88,58.18
Pranay Batra,FULL-TIME,EV BIKE,91,0.41,4.02,67.03
Ehsaan Date,CONTRACT,VAN,97,0.53,3.95,60.82
Shray Butala,FULL-TIME,VAN,86,0.50,3.90,63.95
Anvi Devi,CONTRACT,EV BIKE,87,0.46,3.97,62.07
Neysa Vasa,CONTRACT,VAN,121,0.45,4.01,63.64
Alia Chowdhury,CONTRACT,EV BIKE,94,0.40,4.08,63.83
Aarush Bora,FULL-TIME,BIKE,105,0.35,4.13,70.48
Rasha Chakraborty,FULL-TIME,VAN,117,0.56,3.90,58.97
Alisha Sahota,FULL-TIME,EV BIKE,81,0.48,3.97,59.26
Shamik Char,CONTRACT,VAN,109,0.45,3.98,67.89
Yashvi Dutta,FULL-TIME,EV BIKE,127,0.44,3.98,67.72
Manjari Varghese,FULL-TIME,SCOOTER,91,0.35,4.08,70.33
Rhea Rastogi,CONTRACT,BIKE,105,0.49,3.91,66.67
Romil Yadav,FULL-TIME,VAN,86,0.53,3.89,62.79
Armaan Shah,CONTRACT,EV BIKE,123,0.48,3.99,60.16
Yashvi Yogi,CONTRACT,SCOOTER,114,0.48,3.94,62.28
Manjari Venkatesh,FULL-TIME,EV BIKE,89,0.45,4.03,62.92
Diya Bhandari,FULL-TIME,VAN,102,0.53,3.89,58.82
Armaan Bose,FULL-TIME,BIKE,106,0.42,4.00,68.87
Rhea Bose,CONTRACT,EV BIKE,110,0.48,3.90,63.64
Eva Bhatt,FULL-TIME,EV BIKE,114,0.45,3.99,64.91
Anvi Amble,CONTRACT,EV BIKE,117,0.37,4.07,69.23
Shalv Soni,CONTRACT,SCOOTER,110,0.52,3.98,62.73
Jiya Chana,CONTRACT,EV BIKE,77,0.48,3.97,59.74
Zaina Wali,FULL-TIME,EV BIKE,91,0.42,4.02,70.33
Miraya Swamy,CONTRACT,SCOOTER,82,0.44,3.96,68.29
Raunak Ahuja,FULL-TIME,EV BIKE,101,0.35,4.06,73.27
Hunar Deshpande,FULL-TIME,EV BIKE,135,0.47,3.96,63.70
Hansh Shan,FULL-TIME,EV BIKE,110,0.40,4.03,69.09
Krish Tank,CONTRACT,VAN,129,0.43,4.01,67.44
Adah Saha,FULL-TIME,SCOOTER,86,0.35,4.10,73.26
Kimaya Aurora,FULL-TIME,SCOOTER,95,0.44,4.04,66.32
Mishti Dass,CONTRACT,EV BIKE,108,0.43,4.06,68.52
Renee Banerjee,FULL-TIME,VAN,102,0.29,4.14,76.47
Nayantara Virk,CONTRACT,BIKE,98,0.33,4.13,72.45
Romil Acharya,FULL-TIME,VAN,115,0.40,4.10,66.09
Gatik Lalla,CONTRACT,BIKE,108,0.52,3.94,58.33
Ojas Kaul,CONTRACT,EV BIKE,89,0.52,3.90,61.80
Zara Venkataraman,CONTRACT,EV BIKE,117,0.38,4.10,71.79
Manikya Zachariah,CONTRACT,BIKE,96,0.50,3.88,65.63
Yakshit Kanda,FULL-TIME,EV BIKE,94,0.43,3.95,69.15
Neelofar Kanda,CONTRACT,SCOOTER,89,0.40,4.03,67.42
Aarav Mander,CONTRACT,EV BIKE,84,0.49,4.02,59.52
Samiha Dani,FULL-TIME,EV BIKE,125,0.40,4.10,68.80
Vidur Hari,CONTRACT,VAN,101,0.47,3.95,63.37
Krish Bora,CONTRACT,EV BIKE,87,0.48,3.89,62.07
Dishani Swaminathan,FULL-TIME,VAN,104,0.63,3.81,52.88
Mahika Loke,FULL-TIME,VAN,109,0.47,4.00,66.06
Anvi Deshpande,FULL-TIME,BIKE,74,0.43,4.04,66.22
Samaira Basu,FULL-TIME,EV BIKE,88,0.38,4.12,70.45
Hridaan Mahal,FULL-TIME,BIKE,109,0.47,3.96,66.06
Yuvraj  Jhaveri,FULL-TIME,SCOOTER,86,0.48,3.96,65.12
Aaina Verma,FULL-TIME,VAN,95,0.44,4.00,65.26
Saksham Kant,CONTRACT,EV BIKE,92,0.43,3.99,67.39
Dhanuk Bala,FULL-TIME,EV BIKE,90,0.49,3.90,63.33
Ranbir Kapur,FULL-TIME,BIKE,99,0.52,4.00,57.58
Aaryahi Arya,CONTRACT,EV BIKE,79,0.37,4.11,70.89
Gatik Varma,CONTRACT,EV BIKE,112,0.45,4.01,66.96
Divyansh Badami,FULL-TIME,BIKE,98,0.49,3.96,61.22
Drishya Lad,CONTRACT,SCOOTER,114,0.36,4.14,71.93
Ryan Sunder,FULL-TIME,BIKE,74,0.47,4.01,64.86
Yakshit Apte,CONTRACT,BIKE,89,0.46,4.02,64.04
Chirag Gill,CONTRACT,BIKE,88,0.52,3.90,62.50
Samar Choudhry,FULL-TIME,SCOOTER,104,0.51,3.99,55.77
Ojas Rau,CONTRACT,VAN,120,0.50,3.94,62.50
Ela Kakar,FULL-TIME,EV BIKE,117,0.54,3.88,57.26
Dhruv Balasubramanian,FULL-TIME,SCOOTER,119,0.45,3.98,64.71
Ryan Raval,CONTRACT,BIKE,111,0.41,4.02,65.77
Oorja Balasubramanian,CONTRACT,BIKE,72,0.53,3.92,62.50
Eva Bahl,FULL-TIME,BIKE,96,0.44,3.97,68.75
Eva Luthra,CONTRACT,VAN,98,0.47,4.04,63.27
Riya Tank,FULL-TIME,SCOOTER,95,0.48,3.91,65.26
Amira Kapoor,CONTRACT,EV BIKE,100,0.53,3.95,59.00
Samarth Din,FULL-TIME,SCOOTER,133,0.39,4.02,69.17
Mishti Shere,CONTRACT,VAN,108,0.40,4.08,72.22
Divit Srivastava,CONTRACT,SCOOTER,81,0.53,3.81,62.96
Vedika Ramakrishnan,CONTRACT,SCOOTER,120,0.46,3.96,65.83
Nitya Chahal,CONTRACT,VAN,112,0.44,3.98,67.86
Yuvaan Jaggi,CONTRACT,EV BIKE,103,0.49,3.98,63.11
Azad Garde,CONTRACT,SCOOTER,82,0.49,3.83,62.20
Sumer Bail,FULL-TIME,EV BIKE,104,0.50,3.85,63.46
Aarna Baral,CONTRACT,BIKE,114,0.48,3.99,64.04
Kimaya Warrior,CONTRACT,BIKE,90,0.44,4.05,64.44
Samiha Madan,FULL-TIME,VAN,115,0.45,3.95,65.22
Lavanya Butala,CONTRACT,EV BIKE,78,0.51,3.97,60.26
Samar Kumer,FULL-TIME,BIKE,113,0.32,4.13,73.45
Anay Sheth,FULL-TIME,BIKE,113,0.49,3.98,66.37
Anay Vig,FULL-TIME,SCOOTER,88,0.41,4.01,69.32
Shamik Dhar,CONTRACT,EV BIKE,106,0.46,4.02,62.26
Rati Andra,CONTRACT,BIKE,79,0.35,4.15,72.15
Nishith Deol,FULL-TIME,BIKE,82,0.52,3.93,58.54
Rasha Sekhon,FULL-TIME,BIKE,92,0.35,4.21,72.83
Renee Verma,FULL-TIME,SCOOTER,84,0.32,4.19,71.43
Samaira Dalal,FULL-TIME,BIKE,110,0.50,3.91,60.91
Ivana Lall,CONTRACT,VAN,98,0.49,3.97,58.16
Kashvi Trivedi,FULL-TIME,VAN,85,0.42,4.01,70.59
Manjari Khurana,FULL-TIME,BIKE,121,0.47,3.98,60.33
Ivan Bali,FULL-TIME,BIKE,110,0.41,4.06,70.91
Manjari Keer,CONTRACT,BIKE,105,0.46,4.05,64.76
Shayak Aurora,CONTRACT,BIKE,85,0.47,4.03,60.00
Ira Jha,FULL-TIME,EV BIKE,102,0.41,4.05,67.65
Adira Jhaveri,CONTRACT,SCOOTER,106,0.47,3.99,65.09
Sara Gade,CONTRACT,EV BIKE,94,0.55,3.87,62.77
Kanav Bhatnagar,CONTRACT,SCOOTER,92,0.37,4.03,71.74
Vanya Chakraborty,FULL-TIME,BIKE,103,0.50,3.93,60.19
Charvi Chacko,FULL-TIME,BIKE,91,0.43,4.08,64.84
Arhaan Varma,FULL-TIME,VAN,121,0.45,4.04,63.64
Tejas Bhagat,CONTRACT,SCOOTER,114,0.54,3.94,56.14
Pranay Rege,FULL-TIME,SCOOTER,95,0.39,4.08,71.58
Chirag Rajagopal,CONTRACT,VAN,112,0.35,4.12,73.21
Kimaya Arora,FULL-TIME,BIKE,114,0.49,3.96,64.91
Darshit Krish,CONTRACT,EV BIKE,118,0.46,3.95,61.86
Krish Bedi,FULL-TIME,SCOOTER,88,0.41,3.97,69.32
Rasha Maharaj,CONTRACT,SCOOTER,86,0.53,3.88,60.47
